id,product,city,category,priority,complaint_date,complaint
4348,Phone X,Delhi,Hardware,High,2025-07-31,My Phone X has an issue: delivery delayed.
4349,Earbuds Q,Kolkata,Billing,High,2025-01-06,My Earbuds Q has an issue: battery drains fast.
4350,Phone X,Ahmedabad,Hardware,Low,2025-01-30,My Phone X has an issue: delivery delayed.
4351,Phone X,Kolkata,Billing,Low,2025-11-21,My Phone X has an issue: no sound.
4352,Smartwatch Z,Pune,Software,Medium,2025-08-26,My Smartwatch Z has an issue: no sound.
4353,Tablet S,Hyderabad,Software,High,2025-09-27,My Tablet S has an issue: screen not working.
4354,Laptop Pro,Chennai,Delivery,Medium,2025-03-04,My Laptop Pro has an issue: camera blurred.
4355,Smartwatch Z,Ahmedabad,Hardware,Medium,2025-10-06,My Smartwatch Z has an issue: camera blurred.
4356,Phone X,Bangalore,Hardware,Low,2025-04-27,My Phone X has an issue: device overheating.
4357,Earbuds Q,Ahmedabad,Billing,Low,2025-08-24,My Earbuds Q has an issue: wifi disconnects.
4358,Phone X,Bangalore,Network,High,2025-10-05,My Phone X has an issue: app crashes.
4359,Laptop Pro,Jaipur,Delivery,Critical,2025-09-20,My Laptop Pro has an issue: no sound.
4360,Phone X,Delhi,Hardware,Low,2025-04-18,My Phone X has an issue: app crashes.
4361,Laptop Pro,Kolkata,Network,Low,2025-12-08,My Laptop Pro has an issue: delivery delayed.
4362,Laptop Pro,Ahmedabad,Software,Medium,2025-07-13,My Laptop Pro has an issue: wifi disconnects.
4363,Earbuds Q,Pune,Network,Medium,2025-01-30,My Earbuds Q has an issue: shipment lost.
4364,Earbuds Q,Hyderabad,Network,Medium,2025-12-06,My Earbuds Q has an issue: payment failed.
4365,Tablet S,Bangalore,Billing,High,2025-06-26,My Tablet S has an issue: delivery delayed.
4366,Phone X,Lucknow,Delivery,High,2025-08-12,My Phone X has an issue: device overheating.
4367,Phone X,Kolkata,Delivery,Low,2025-06-18,My Phone X has an issue: wifi disconnects.
4368,Tablet S,Jaipur,Software,High,2025-11-25,My Tablet S has an issue: app crashes.
4369,Earbuds Q,Hyderabad,Network,Medium,2025-04-01,My Earbuds Q has an issue: device overheating.
4370,Phone X,Ahmedabad,Software,Medium,2025-02-24,My Phone X has an issue: battery drains fast.
4371,Tablet S,Mumbai,Billing,High,2025-10-22,My Tablet S has an issue: wifi disconnects.
4372,Tablet S,Ahmedabad,Billing,Critical,2025-04-02,My Tablet S has an issue: shipment lost.
4373,Phone X,Jaipur,Hardware,Low,2025-08-01,My Phone X has an issue: payment failed.
4374,Tablet S,Jaipur,Hardware,Low,2025-03-03,My Tablet S has an issue: delivery delayed.
4375,Earbuds Q,Jaipur,Billing,Low,2025-10-11,My Earbuds Q has an issue: battery drains fast.
4376,Earbuds Q,Pune,Hardware,High,2025-07-30,My Earbuds Q has an issue: battery drains fast.
4377,Tablet S,Delhi,Delivery,Low,2025-07-18,My Tablet S has an issue: battery drains fast.
4378,Laptop Pro,Mumbai,Delivery,High,2025-07-25,My Laptop Pro has an issue: wifi disconnects.
4379,Phone X,Bangalore,Software,High,2025-09-09,My Phone X has an issue: screen not working.
4380,Tablet S,Bangalore,Billing,Medium,2025-05-01,My Tablet S has an issue: app crashes.
4381,Smartwatch Z,Bangalore,Delivery,Low,2025-09-17,My Smartwatch Z has an issue: camera blurred.
4382,Laptop Pro,Jaipur,Network,Low,2025-05-25,My Laptop Pro has an issue: shipment lost.
4383,Smartwatch Z,Ahmedabad,Billing,High,2025-10-18,My Smartwatch Z has an issue: delivery delayed.
4384,Phone X,Hyderabad,Network,Medium,2025-02-17,My Phone X has an issue: delivery delayed.
4385,Phone X,Ahmedabad,Hardware,Medium,2025-09-28,My Phone X has an issue: delivery delayed.
4386,Phone X,Chennai,Hardware,Medium,2025-03-31,My Phone X has an issue: payment failed.
4387,Laptop Pro,Delhi,Software,High,2025-08-27,My Laptop Pro has an issue: battery drains fast.
4388,Smartwatch Z,Pune,Billing,Medium,2025-05-10,My Smartwatch Z has an issue: screen not working.
4389,Phone X,Chennai,Delivery,Medium,2025-05-08,My Phone X has an issue: payment failed.
4390,Phone X,Chennai,Software,Medium,2025-06-17,My Phone X has an issue: wifi disconnects.
4391,Phone X,Hyderabad,Network,Low,2025-08-04,My Phone X has an issue: app crashes.
4392,Smartwatch Z,Pune,Delivery,Critical,2025-01-21,My Smartwatch Z has an issue: screen not working.
4393,Tablet S,Delhi,Billing,Medium,2025-05-05,My Tablet S has an issue: wifi disconnects.
4394,Smartwatch Z,Bangalore,Network,Low,2025-11-14,My Smartwatch Z has an issue: device overheating.
4395,Tablet S,Hyderabad,Billing,High,2025-08-19,My Tablet S has an issue: delivery delayed.
4396,Earbuds Q,Hyderabad,Billing,High,2025-11-23,My Earbuds Q has an issue: delivery delayed.
4397,Earbuds Q,Ahmedabad,Billing,Low,2025-12-03,My Earbuds Q has an issue: app crashes.
4398,Laptop Pro,Bangalore,Hardware,High,2025-03-15,My Laptop Pro has an issue: app crashes.
4399,Smartwatch Z,Lucknow,Delivery,Medium,2025-04-23,My Smartwatch Z has an issue: battery drains fast.
4400,Tablet S,Delhi,Network,Low,2025-02-09,My Tablet S has an issue: screen not working.
4401,Laptop Pro,Hyderabad,Delivery,High,2025-06-24,My Laptop Pro has an issue: shipment lost.
4402,Smartwatch Z,Pune,Software,Medium,2025-11-17,My Smartwatch Z has an issue: device overheating.
4403,Smartwatch Z,Delhi,Billing,Low,2025-04-03,My Smartwatch Z has an issue: payment failed.
4404,Phone X,Mumbai,Hardware,Medium,2025-09-08,My Phone X has an issue: camera blurred.
4405,Smartwatch Z,Jaipur,Software,Medium,2025-11-29,My Smartwatch Z has an issue: camera blurred.
4406,Earbuds Q,Pune,Network,Medium,2025-09-06,My Earbuds Q has an issue: wifi disconnects.
4407,Laptop Pro,Delhi,Delivery,Low,2025-08-10,My Laptop Pro has an issue: payment failed.
4408,Smartwatch Z,Delhi,Software,Medium,2025-07-31,My Smartwatch Z has an issue: camera blurred.
4409,Phone X,Ahmedabad,Delivery,Low,2025-06-08,My Phone X has an issue: device overheating.
4410,Phone X,Chennai,Network,Medium,2025-05-17,My Phone X has an issue: delivery delayed.
4411,Tablet S,Jaipur,Software,Low,2025-04-03,My Tablet S has an issue: wifi disconnects.
4412,Tablet S,Jaipur,Billing,High,2025-01-29,My Tablet S has an issue: wifi disconnects.
4413,Smartwatch Z,Bangalore,Hardware,Low,2025-06-05,My Smartwatch Z has an issue: device overheating.
4414,Laptop Pro,Ahmedabad,Network,Low,2025-07-30,My Laptop Pro has an issue: device overheating.
4415,Smartwatch Z,Jaipur,Software,Low,2025-10-30,My Smartwatch Z has an issue: battery drains fast.
4416,Phone X,Delhi,Network,Low,2025-08-17,My Phone X has an issue: no sound.
4417,Tablet S,Lucknow,Hardware,Low,2025-12-13,My Tablet S has an issue: payment failed.
4418,Phone X,Bangalore,Network,High,2025-06-21,My Phone X has an issue: screen not working.
4419,Phone X,Kolkata,Software,Low,2025-08-09,My Phone X has an issue: shipment lost.
4420,Earbuds Q,Kolkata,Delivery,Low,2025-06-02,My Earbuds Q has an issue: camera blurred.
4421,Tablet S,Pune,Software,Medium,2025-08-21,My Tablet S has an issue: camera blurred.
4422,Phone X,Pune,Hardware,Medium,2025-10-25,My Phone X has an issue: delivery delayed.
4423,Smartwatch Z,Mumbai,Billing,Low,2025-06-01,My Smartwatch Z has an issue: shipment lost.
4424,Smartwatch Z,Hyderabad,Software,Low,2025-06-18,My Smartwatch Z has an issue: battery drains fast.
4425,Laptop Pro,Kolkata,Network,High,2025-12-26,My Laptop Pro has an issue: payment failed.
4426,Smartwatch Z,Delhi,Software,Medium,2025-03-11,My Smartwatch Z has an issue: app crashes.
4427,Earbuds Q,Ahmedabad,Software,Critical,2025-08-17,My Earbuds Q has an issue: screen not working.
4428,Tablet S,Hyderabad,Network,High,2025-03-21,My Tablet S has an issue: battery drains fast.
4429,Tablet S,Delhi,Hardware,Low,2025-06-17,My Tablet S has an issue: screen not working.
4430,Tablet S,Mumbai,Delivery,High,2025-04-09,My Tablet S has an issue: payment failed.
4431,Laptop Pro,Hyderabad,Network,High,2025-05-16,My Laptop Pro has an issue: payment failed.
4432,Phone X,Hyderabad,Delivery,High,2025-02-06,My Phone X has an issue: payment failed.
4433,Laptop Pro,Chennai,Network,Critical,2025-09-13,My Laptop Pro has an issue: shipment lost.
4434,Tablet S,Kolkata,Network,Low,2025-07-18,My Tablet S has an issue: device overheating.
4435,Earbuds Q,Mumbai,Network,Medium,2025-09-17,My Earbuds Q has an issue: camera blurred.
4436,Earbuds Q,Ahmedabad,Hardware,Medium,2025-11-30,My Earbuds Q has an issue: no sound.
4437,Smartwatch Z,Lucknow,Hardware,Critical,2025-04-09,My Smartwatch Z has an issue: shipment lost.
4438,Smartwatch Z,Chennai,Billing,High,2025-02-19,My Smartwatch Z has an issue: device overheating.
4439,Laptop Pro,Bangalore,Software,Medium,2025-09-13,My Laptop Pro has an issue: no sound.
4440,Tablet S,Ahmedabad,Software,Low,2025-03-11,My Tablet S has an issue: device overheating.
4441,Smartwatch Z,Jaipur,Network,High,2025-12-20,My Smartwatch Z has an issue: screen not working.
4442,Tablet S,Bangalore,Billing,Low,2025-06-07,My Tablet S has an issue: device overheating.
4443,Phone X,Jaipur,Software,Medium,2025-01-04,My Phone X has an issue: delivery delayed.
4444,Tablet S,Ahmedabad,Network,Critical,2025-07-25,My Tablet S has an issue: no sound.
4445,Phone X,Pune,Software,Medium,2025-11-08,My Phone X has an issue: battery drains fast.
4446,Earbuds Q,Kolkata,Hardware,High,2025-03-08,My Earbuds Q has an issue: device overheating.
4447,Earbuds Q,Mumbai,Hardware,Medium,2025-12-04,My Earbuds Q has an issue: delivery delayed.
4448,Smartwatch Z,Pune,Software,Low,2025-01-24,My Smartwatch Z has an issue: shipment lost.
4449,Earbuds Q,Hyderabad,Hardware,Low,2025-08-30,My Earbuds Q has an issue: wifi disconnects.
4450,Earbuds Q,Kolkata,Software,Low,2025-03-05,My Earbuds Q has an issue: shipment lost.
4451,Smartwatch Z,Hyderabad,Software,Medium,2025-03-03,My Smartwatch Z has an issue: payment failed.
4452,Smartwatch Z,Chennai,Delivery,Low,2025-04-18,My Smartwatch Z has an issue: camera blurred.
4453,Smartwatch Z,Bangalore,Billing,Medium,2025-05-21,My Smartwatch Z has an issue: no sound.
4454,Earbuds Q,Lucknow,Delivery,Low,2025-08-21,My Earbuds Q has an issue: no sound.
4455,Laptop Pro,Delhi,Hardware,Medium,2025-09-09,My Laptop Pro has an issue: screen not working.
4456,Smartwatch Z,Kolkata,Hardware,Medium,2025-10-08,My Smartwatch Z has an issue: app crashes.
4457,Phone X,Ahmedabad,Software,Medium,2025-11-23,My Phone X has an issue: device overheating.
4458,Phone X,Bangalore,Billing,Medium,2025-12-16,My Phone X has an issue: shipment lost.
4459,Tablet S,Hyderabad,Hardware,Medium,2025-03-24,My Tablet S has an issue: device overheating.
4460,Tablet S,Lucknow,Network,Low,2025-02-08,My Tablet S has an issue: delivery delayed.
4461,Laptop Pro,Lucknow,Software,Critical,2025-05-20,My Laptop Pro has an issue: device overheating.
4462,Earbuds Q,Jaipur,Software,Low,2025-09-04,My Earbuds Q has an issue: screen not working.
4463,Earbuds Q,Hyderabad,Delivery,Low,2025-05-23,My Earbuds Q has an issue: shipment lost.
4464,Smartwatch Z,Pune,Software,Medium,2025-08-08,My Smartwatch Z has an issue: wifi disconnects.
4465,Smartwatch Z,Kolkata,Billing,Low,2025-01-30,My Smartwatch Z has an issue: screen not working.
4466,Phone X,Kolkata,Hardware,High,2025-08-21,My Phone X has an issue: payment failed.
4467,Earbuds Q,Mumbai,Network,Low,2025-04-03,My Earbuds Q has an issue: camera blurred.
4468,Smartwatch Z,Delhi,Software,Medium,2025-03-29,My Smartwatch Z has an issue: camera blurred.
4469,Phone X,Bangalore,Software,Medium,2025-09-10,My Phone X has an issue: shipment lost.
4470,Laptop Pro,Bangalore,Software,Medium,2025-05-29,My Laptop Pro has an issue: device overheating.
4471,Tablet S,Pune,Network,Low,2025-02-14,My Tablet S has an issue: app crashes.
4472,Phone X,Jaipur,Software,Medium,2025-09-27,My Phone X has an issue: wifi disconnects.
4473,Laptop Pro,Lucknow,Delivery,Low,2025-01-22,My Laptop Pro has an issue: device overheating.
4474,Phone X,Delhi,Billing,High,2025-10-01,My Phone X has an issue: battery drains fast.
4475,Laptop Pro,Delhi,Software,Critical,2025-01-19,My Laptop Pro has an issue: battery drains fast.
4476,Smartwatch Z,Pune,Software,Low,2025-04-22,My Smartwatch Z has an issue: shipment lost.
4477,Laptop Pro,Lucknow,Hardware,Critical,2025-08-08,My Laptop Pro has an issue: shipment lost.
4478,Laptop Pro,Delhi,Billing,Critical,2025-12-20,My Laptop Pro has an issue: wifi disconnects.
4479,Smartwatch Z,Ahmedabad,Delivery,Medium,2025-02-27,My Smartwatch Z has an issue: camera blurred.
4480,Phone X,Lucknow,Billing,Low,2025-12-05,My Phone X has an issue: device overheating.
4481,Phone X,Mumbai,Delivery,Medium,2025-11-27,My Phone X has an issue: device overheating.
4482,Tablet S,Hyderabad,Billing,High,2026-01-01,My Tablet S has an issue: wifi disconnects.
4483,Laptop Pro,Hyderabad,Software,Medium,2025-07-18,My Laptop Pro has an issue: shipment lost.
4484,Earbuds Q,Ahmedabad,Network,High,2025-05-10,My Earbuds Q has an issue: shipment lost.
4485,Phone X,Chennai,Network,Medium,2025-11-05,My Phone X has an issue: payment failed.
4486,Laptop Pro,Chennai,Hardware,Medium,2025-02-13,My Laptop Pro has an issue: battery drains fast.
4487,Phone X,Jaipur,Delivery,Medium,2025-02-10,My Phone X has an issue: delivery delayed.
4488,Laptop Pro,Bangalore,Hardware,Low,2025-06-23,My Laptop Pro has an issue: battery drains fast.
4489,Phone X,Hyderabad,Billing,Medium,2025-04-26,My Phone X has an issue: no sound.
4490,Smartwatch Z,Ahmedabad,Network,Critical,2025-09-08,My Smartwatch Z has an issue: delivery delayed.
4491,Phone X,Mumbai,Delivery,Medium,2025-06-07,My Phone X has an issue: shipment lost.
4492,Phone X,Pune,Hardware,Low,2025-09-04,My Phone X has an issue: app crashes.
4493,Laptop Pro,Chennai,Software,Low,2025-06-17,My Laptop Pro has an issue: payment failed.
4494,Phone X,Chennai,Hardware,High,2025-02-22,My Phone X has an issue: screen not working.
4495,Laptop Pro,Bangalore,Delivery,Critical,2025-03-21,My Laptop Pro has an issue: screen not working.
4496,Tablet S,Bangalore,Delivery,Medium,2025-03-14,My Tablet S has an issue: battery drains fast.
4497,Tablet S,Bangalore,Software,High,2025-06-21,My Tablet S has an issue: camera blurred.
4498,Tablet S,Mumbai,Delivery,Medium,2025-01-14,My Tablet S has an issue: device overheating.
4499,Earbuds Q,Ahmedabad,Network,Medium,2025-11-03,My Earbuds Q has an issue: camera blurred.
4500,Earbuds Q,Mumbai,Hardware,Low,2025-06-27,My Earbuds Q has an issue: app crashes.
4501,Tablet S,Ahmedabad,Billing,Low,2025-07-30,My Tablet S has an issue: wifi disconnects.
4502,Tablet S,Mumbai,Billing,High,2025-06-03,My Tablet S has an issue: device overheating.
4503,Tablet S,Chennai,Hardware,Medium,2025-04-22,My Tablet S has an issue: screen not working.
4504,Earbuds Q,Hyderabad,Network,Low,2025-07-21,My Earbuds Q has an issue: payment failed.
4505,Tablet S,Bangalore,Delivery,Low,2025-01-05,My Tablet S has an issue: no sound.
4506,Laptop Pro,Mumbai,Delivery,Medium,2025-02-28,My Laptop Pro has an issue: battery drains fast.
4507,Tablet S,Ahmedabad,Hardware,Medium,2025-06-12,My Tablet S has an issue: delivery delayed.
4508,Tablet S,Jaipur,Delivery,High,2025-04-19,My Tablet S has an issue: battery drains fast.
4509,Earbuds Q,Jaipur,Network,Critical,2025-11-10,My Earbuds Q has an issue: battery drains fast.
4510,Smartwatch Z,Kolkata,Software,Low,2025-02-15,My Smartwatch Z has an issue: battery drains fast.
4511,Earbuds Q,Chennai,Billing,Medium,2025-07-01,My Earbuds Q has an issue: shipment lost.
4512,Laptop Pro,Kolkata,Delivery,Low,2025-01-24,My Laptop Pro has an issue: device overheating.
4513,Laptop Pro,Mumbai,Billing,Medium,2025-03-22,My Laptop Pro has an issue: wifi disconnects.
4514,Laptop Pro,Bangalore,Software,Medium,2025-05-01,My Laptop Pro has an issue: wifi disconnects.
4515,Smartwatch Z,Delhi,Delivery,Low,2025-12-21,My Smartwatch Z has an issue: battery drains fast.
4516,Earbuds Q,Ahmedabad,Network,Medium,2025-10-06,My Earbuds Q has an issue: battery drains fast.
4517,Earbuds Q,Mumbai,Network,Low,2025-06-11,My Earbuds Q has an issue: shipment lost.
4518,Tablet S,Jaipur,Billing,Medium,2025-09-12,My Tablet S has an issue: device overheating.
4519,Phone X,Hyderabad,Delivery,Medium,2025-12-07,My Phone X has an issue: screen not working.
4520,Tablet S,Hyderabad,Hardware,Medium,2025-12-25,My Tablet S has an issue: app crashes.
4521,Tablet S,Delhi,Network,Medium,2025-11-09,My Tablet S has an issue: wifi disconnects.
4522,Earbuds Q,Chennai,Software,Low,2025-07-19,My Earbuds Q has an issue: device overheating.
4523,Earbuds Q,Delhi,Software,Medium,2025-03-04,My Earbuds Q has an issue: app crashes.
4524,Smartwatch Z,Delhi,Billing,Medium,2025-12-05,My Smartwatch Z has an issue: payment failed.
4525,Tablet S,Kolkata,Billing,Low,2025-07-31,My Tablet S has an issue: wifi disconnects.
4526,Smartwatch Z,Mumbai,Delivery,Medium,2025-05-12,My Smartwatch Z has an issue: no sound.
4527,Smartwatch Z,Mumbai,Delivery,Low,2025-11-11,My Smartwatch Z has an issue: no sound.
4528,Laptop Pro,Mumbai,Delivery,Low,2025-11-21,My Laptop Pro has an issue: delivery delayed.
4529,Laptop Pro,Jaipur,Billing,Low,2025-02-01,My Laptop Pro has an issue: battery drains fast.
4530,Smartwatch Z,Pune,Delivery,High,2025-02-03,My Smartwatch Z has an issue: wifi disconnects.
4531,Phone X,Kolkata,Network,High,2025-08-01,My Phone X has an issue: camera blurred.
4532,Smartwatch Z,Kolkata,Hardware,Medium,2025-10-12,My Smartwatch Z has an issue: no sound.
4533,Phone X,Hyderabad,Billing,Low,2025-04-09,My Phone X has an issue: camera blurred.
4534,Tablet S,Chennai,Hardware,Low,2025-09-25,My Tablet S has an issue: no sound.
4535,Smartwatch Z,Lucknow,Hardware,Medium,2025-09-22,My Smartwatch Z has an issue: app crashes.
4536,Laptop Pro,Bangalore,Software,Medium,2025-01-16,My Laptop Pro has an issue: delivery delayed.
4537,Phone X,Hyderabad,Hardware,High,2025-08-31,My Phone X has an issue: camera blurred.
4538,Smartwatch Z,Chennai,Software,Low,2025-11-24,My Smartwatch Z has an issue: app crashes.
4539,Earbuds Q,Ahmedabad,Hardware,Low,2025-10-19,My Earbuds Q has an issue: no sound.
4540,Smartwatch Z,Jaipur,Software,High,2025-11-23,My Smartwatch Z has an issue: camera blurred.
4541,Smartwatch Z,Ahmedabad,Software,Medium,2025-03-13,My Smartwatch Z has an issue: wifi disconnects.
4542,Earbuds Q,Kolkata,Hardware,Low,2025-09-22,My Earbuds Q has an issue: no sound.
4543,Laptop Pro,Lucknow,Software,Medium,2025-04-23,My Laptop Pro has an issue: screen not working.
4544,Smartwatch Z,Lucknow,Software,Low,2025-10-27,My Smartwatch Z has an issue: payment failed.
4545,Tablet S,Delhi,Hardware,Low,2025-07-01,My Tablet S has an issue: no sound.
4546,Phone X,Mumbai,Hardware,Low,2025-05-31,My Phone X has an issue: wifi disconnects.
4547,Tablet S,Ahmedabad,Network,Low,2025-08-11,My Tablet S has an issue: payment failed.
4548,Earbuds Q,Mumbai,Hardware,Low,2025-09-28,My Earbuds Q has an issue: camera blurred.
4549,Laptop Pro,Hyderabad,Billing,Low,2025-06-18,My Laptop Pro has an issue: payment failed.
4550,Earbuds Q,Jaipur,Billing,Low,2025-04-07,My Earbuds Q has an issue: camera blurred.
4551,Tablet S,Jaipur,Billing,Low,2025-06-01,My Tablet S has an issue: battery drains fast.
4552,Smartwatch Z,Kolkata,Hardware,Critical,2025-12-15,My Smartwatch Z has an issue: wifi disconnects.
4553,Phone X,Ahmedabad,Network,Low,2025-02-04,My Phone X has an issue: camera blurred.
4554,Laptop Pro,Jaipur,Software,Low,2025-08-05,My Laptop Pro has an issue: delivery delayed.
4555,Tablet S,Jaipur,Billing,High,2025-03-29,My Tablet S has an issue: delivery delayed.
4556,Tablet S,Kolkata,Software,Low,2025-03-02,My Tablet S has an issue: wifi disconnects.
4557,Earbuds Q,Delhi,Hardware,Low,2025-09-01,My Earbuds Q has an issue: app crashes.
4558,Phone X,Jaipur,Network,High,2025-07-21,My Phone X has an issue: delivery delayed.
4559,Smartwatch Z,Lucknow,Billing,High,2025-04-06,My Smartwatch Z has an issue: delivery delayed.
4560,Smartwatch Z,Chennai,Delivery,Low,2025-11-27,My Smartwatch Z has an issue: device overheating.
4561,Earbuds Q,Kolkata,Delivery,Low,2025-09-10,My Earbuds Q has an issue: delivery delayed.
4562,Tablet S,Chennai,Hardware,Critical,2025-02-24,My Tablet S has an issue: device overheating.
4563,Smartwatch Z,Ahmedabad,Delivery,High,2025-12-22,My Smartwatch Z has an issue: delivery delayed.
4564,Phone X,Chennai,Software,Low,2025-02-16,My Phone X has an issue: camera blurred.
4565,Tablet S,Pune,Delivery,Medium,2025-07-23,My Tablet S has an issue: app crashes.
4566,Earbuds Q,Lucknow,Billing,Low,2025-03-28,My Earbuds Q has an issue: app crashes.
4567,Phone X,Kolkata,Hardware,High,2025-06-13,My Phone X has an issue: payment failed.
4568,Earbuds Q,Ahmedabad,Network,High,2025-02-14,My Earbuds Q has an issue: screen not working.
4569,Smartwatch Z,Kolkata,Hardware,Low,2025-09-04,My Smartwatch Z has an issue: screen not working.
4570,Phone X,Lucknow,Network,Critical,2025-08-20,My Phone X has an issue: no sound.
4571,Laptop Pro,Jaipur,Hardware,Medium,2025-06-29,My Laptop Pro has an issue: no sound.
4572,Smartwatch Z,Hyderabad,Hardware,Low,2025-01-31,My Smartwatch Z has an issue: shipment lost.
4573,Laptop Pro,Jaipur,Network,High,2025-10-26,My Laptop Pro has an issue: camera blurred.
4574,Laptop Pro,Jaipur,Delivery,Medium,2025-09-18,My Laptop Pro has an issue: battery drains fast.
4575,Laptop Pro,Mumbai,Network,Medium,2025-10-07,My Laptop Pro has an issue: no sound.
4576,Earbuds Q,Chennai,Software,Medium,2025-09-06,My Earbuds Q has an issue: app crashes.
4577,Smartwatch Z,Mumbai,Delivery,Medium,2025-08-04,My Smartwatch Z has an issue: screen not working.
4578,Phone X,Jaipur,Billing,High,2025-01-01,My Phone X has an issue: payment failed.
4579,Phone X,Kolkata,Software,High,2025-01-02,My Phone X has an issue: app crashes.
4580,Laptop Pro,Hyderabad,Delivery,Low,2025-05-02,My Laptop Pro has an issue: no sound.
4581,Phone X,Jaipur,Network,High,2025-09-06,My Phone X has an issue: app crashes.
4582,Laptop Pro,Hyderabad,Hardware,High,2025-12-21,My Laptop Pro has an issue: app crashes.
4583,Earbuds Q,Ahmedabad,Delivery,Low,2025-05-12,My Earbuds Q has an issue: device overheating.
4584,Earbuds Q,Bangalore,Software,Low,2025-08-14,My Earbuds Q has an issue: screen not working.
4585,Phone X,Hyderabad,Delivery,Critical,2025-01-05,My Phone X has an issue: battery drains fast.
4586,Phone X,Ahmedabad,Billing,Medium,2025-10-25,My Phone X has an issue: payment failed.
4587,Laptop Pro,Lucknow,Billing,High,2025-03-29,My Laptop Pro has an issue: no sound.
4588,Phone X,Lucknow,Billing,Medium,2025-11-11,My Phone X has an issue: no sound.
4589,Laptop Pro,Jaipur,Hardware,Medium,2025-08-21,My Laptop Pro has an issue: delivery delayed.
4590,Laptop Pro,Chennai,Delivery,High,2025-03-01,My Laptop Pro has an issue: wifi disconnects.
4591,Tablet S,Jaipur,Hardware,Low,2025-04-11,My Tablet S has an issue: device overheating.
4592,Tablet S,Lucknow,Delivery,Medium,2025-06-06,My Tablet S has an issue: delivery delayed.
4593,Laptop Pro,Mumbai,Software,High,2025-01-23,My Laptop Pro has an issue: screen not working.
4594,Tablet S,Ahmedabad,Software,Low,2025-06-18,My Tablet S has an issue: delivery delayed.
4595,Laptop Pro,Pune,Hardware,Medium,2025-03-05,My Laptop Pro has an issue: shipment lost.
4596,Smartwatch Z,Ahmedabad,Hardware,Medium,2025-04-29,My Smartwatch Z has an issue: shipment lost.
4597,Earbuds Q,Hyderabad,Billing,Medium,2025-07-26,My Earbuds Q has an issue: shipment lost.
4598,Tablet S,Ahmedabad,Delivery,Medium,2025-05-20,My Tablet S has an issue: payment failed.
4599,Phone X,Lucknow,Billing,High,2025-08-15,My Phone X has an issue: payment failed.
4600,Phone X,Lucknow,Billing,Medium,2025-07-30,My Phone X has an issue: payment failed.
4601,Earbuds Q,Kolkata,Hardware,High,2025-10-28,My Earbuds Q has an issue: wifi disconnects.
4602,Phone X,Hyderabad,Delivery,Medium,2025-02-15,My Phone X has an issue: battery drains fast.
4603,Phone X,Bangalore,Billing,High,2025-01-11,My Phone X has an issue: battery drains fast.
4604,Laptop Pro,Delhi,Billing,High,2025-04-13,My Laptop Pro has an issue: camera blurred.
4605,Laptop Pro,Lucknow,Software,Medium,2025-06-19,My Laptop Pro has an issue: delivery delayed.
4606,Earbuds Q,Pune,Delivery,Low,2025-02-26,My Earbuds Q has an issue: app crashes.
4607,Earbuds Q,Delhi,Software,Low,2025-10-17,My Earbuds Q has an issue: device overheating.
4608,Earbuds Q,Delhi,Network,Medium,2025-07-08,My Earbuds Q has an issue: no sound.
4609,Tablet S,Hyderabad,Software,Low,2025-05-26,My Tablet S has an issue: app crashes.
4610,Laptop Pro,Ahmedabad,Hardware,Critical,2025-03-25,My Laptop Pro has an issue: app crashes.
4611,Earbuds Q,Mumbai,Network,Low,2025-08-28,My Earbuds Q has an issue: no sound.
4612,Smartwatch Z,Bangalore,Billing,Low,2025-12-02,My Smartwatch Z has an issue: screen not working.
4613,Phone X,Chennai,Hardware,Low,2025-09-23,My Phone X has an issue: wifi disconnects.
4614,Smartwatch Z,Kolkata,Billing,Medium,2025-12-27,My Smartwatch Z has an issue: delivery delayed.
4615,Phone X,Ahmedabad,Hardware,Medium,2025-07-07,My Phone X has an issue: no sound.
4616,Earbuds Q,Mumbai,Delivery,High,2025-05-10,My Earbuds Q has an issue: battery drains fast.
4617,Earbuds Q,Lucknow,Network,Low,2025-01-15,My Earbuds Q has an issue: device overheating.
4618,Tablet S,Bangalore,Network,Low,2025-09-14,My Tablet S has an issue: battery drains fast.
4619,Tablet S,Chennai,Billing,Low,2025-01-01,My Tablet S has an issue: no sound.
4620,Phone X,Ahmedabad,Billing,Medium,2025-06-04,My Phone X has an issue: device overheating.
4621,Tablet S,Bangalore,Network,Medium,2025-01-05,My Tablet S has an issue: payment failed.
4622,Phone X,Jaipur,Software,High,2025-08-09,My Phone X has an issue: wifi disconnects.
4623,Smartwatch Z,Bangalore,Network,High,2025-06-02,My Smartwatch Z has an issue: camera blurred.
4624,Tablet S,Mumbai,Software,High,2025-05-18,My Tablet S has an issue: shipment lost.
4625,Earbuds Q,Bangalore,Hardware,High,2025-03-19,My Earbuds Q has an issue: shipment lost.
4626,Tablet S,Mumbai,Software,Medium,2025-12-27,My Tablet S has an issue: shipment lost.
4627,Smartwatch Z,Lucknow,Hardware,Medium,2025-10-15,My Smartwatch Z has an issue: battery drains fast.
4628,Smartwatch Z,Chennai,Network,High,2026-01-01,My Smartwatch Z has an issue: app crashes.
4629,Earbuds Q,Pune,Hardware,Medium,2025-01-25,My Earbuds Q has an issue: device overheating.
4630,Laptop Pro,Pune,Billing,Medium,2025-05-28,My Laptop Pro has an issue: wifi disconnects.
